                                   Rank 4 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
2020-03-13 18:23:59.528375 - G11:  Rank 0 fitness=4	weights=[1, 0, 0, -2.404, -2.462, 0.898, 0, 1, 0, 1, 0]	 game_history=[-10, 14]
                                   Rank 1 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 2 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 3 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 4 fitness=-6	weights=[1.333, 0, 0, -4.742, 0, 0, 0, -0.688, 0, 1, 1.591]	 game_history=[-10, 4]
2020-03-13 18:24:08.466074 - G12:  Rank 0 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 1 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 2 fitness=-6	weights=[1.333, 0, 0, -4.742, 0, 0, 0, -0.688, 0, 1, 1.591]	 game_history=[-10, 4]
                                   Rank 3 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 4 fitness=-14	weights=[1.333, 0, 0, -2.404, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-26, 12]
2020-03-13 18:24:17.993429 - G13:  Rank 0 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 1 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 2 fitness=-14	weights=[1.333, 0, 0, -2.404, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-26, 12]
                                   Rank 3 fitness=-14	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-30, 16]
                                   Rank 4 fitness=-16	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-30, 14]
2020-03-13 18:24:27.327468 - G14:  Rank 0 fitness=8	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-8, 16]
                                   Rank 1 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 2 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 3 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 4 fitness=-10	weights=[1.333, 0, 0, -2.404, 0, -0.029, 0, 1, 0, 1, 0]	 game_history=[-20, 10]
2020-03-13 18:24:36.515378 - G15:  Rank 0 fitness=8	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-8, 16]
                                   Rank 1 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 2 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 3 fitness=-10	weights=[1.333, 0, 0, -2.404, 0, -0.029, 0, 1, 0, 1, 0]	 game_history=[-20, 10]
                                   Rank 4 fitness=-16	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-30, 14]
2020-03-13 18:24:45.158431 - G16:  Rank 0 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 1 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 2 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 3 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, -0.029, 0, -1.059, 0, 1, 0]	 game_history=[-10, 4]
                                   Rank 4 fitness=-14	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-30, 16]
2020-03-13 18:24:54.548078 - G17:  Rank 0 fitness=8	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-8, 16]
                                   Rank 1 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 2 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 3 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, -0.029, 0, -1.059, 0, 1, 0]	 game_history=[-10, 4]
                                   Rank 4 fitness=-14	weights=[1.333, 0, 0, -4.742, -1.093, 0, 0, 1, 0, -1, 0]	 game_history=[-30, 16]
2020-03-13 18:25:03.279520 - G18:  Rank 0 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 1 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
                                   Rank 2 fitness=-10	weights=[1.333, 0, 0, -2.404, 0, 1.361, 0, 1, 0, 1, 0]	 game_history=[-20, 10]
                                   Rank 3 fitness=-14	weights=[1.333, 0, 0, -4.742, 0, -2.395, 0, 1, 0, -1, 0]	 game_history=[-30, 16]
                                   Rank 4 fitness=-16	weights=[1.333, 0, 0, -4.742, 0, -1.219, 0, 0.688, 0, 1, 0]	 game_history=[-30, 14]
2020-03-13 18:25:12.546391 - G19:  Rank 0 fitness=4	weights=[1.333, 0, 0, -4.742, 0, -1.219, 0, 0.688, 0, 1, 0]	 game_history=[-10, 14]
                                   Rank 1 fitness=-2	weights=[1.333, 0, 0, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 2 fitness=-2	weights=[1.333, 0, 0.288, -4.742, 0, 0, 0, 0.688, 0, 1, 0]	 game_history=[-10, 8]
                                   Rank 3 fitness=-6	weights=[1.333, 0, 0, -2.404, 0, 0, 0, 1, 0, 1, 0]	 game_history=[-20, 14]
