2020-03-14 01:22:32.325666 - G11:  Rank 0 fitness=32	weights=[1, -1, 0, 0, -1.573, 0.713, -1.329, 0, 0, 2.293, 0]	 game_history=[12, 20]
                                   Rank 1 fitness=28	weights=[1, -1, 0, 0, -1.573, 0.713, -1.329, 0, 0, 0, 0]	 game_history=[12, 16]
                                   Rank 2 fitness=26	weights=[1, -1, 0, 0, 0.618, 0.713, -1, 0, 0, 0, 0.517]	 game_history=[2, 24]
                                   Rank 3 fitness=24	weights=[1, -1, 0, 0, 0.618, 0.713, -1, 0, 0, 0, 0]	 game_history=[12, 12]
                                   Rank 4 fitness=24	weights=[1, -1, -2.361, 0, 0.618, 0.713, -1.329, 0, 0, 0, 0]	 game_history=[10, 14]
2020-03-14 01:22:47.789589 - G12:  Rank 0 fitness=56	weights=[1, -1, -2.361, 0, 0.618, 0.713, -1.329, 0, 0, 0, 0]	 game_history=[26, 30]
                                   Rank 1 fitness=50	weights=[1, -1, 0, 0, 0.618, 0.713, -1, 0, 0, 0, 0]	 game_history=[30, 20]
                                   Rank 2 fitness=32	weights=[1, -1, 0, 0, -1.573, 0.713, -1.329, 0, 0, 0, 0]	 game_history=[26, 6]
                                   Rank 3 fitness=22	weights=[1, -1, 0, 0, -1.573, -0.179, -1.329, 0, 0, 0, 0]	 game_history=[10, 12]
                                   Rank 4 fitness=16	weights=[1, -1, 0, 0, -1.573, 0.713, -1.329, 0, 0, 2.293, 0]	 game_history=[12, 4]
2020-03-14 01:23:02.823961 - G13:  Rank 0 fitness=40	weights=[1, -1, -2.361, 0, 0.618, 0.713, -1.329, 0, 0, 0, 0]	 game_history=[10, 30]
                                   Rank 1 fitness=32	weights=[1, -1, 0, 0, -1.573, -0.179, -1.329, 0, 0, 0, 0]	 game_history=[16, 16]
                                   Rank 2 fitness=30	weights=[1, -1, 0, 0, 0.618, 0.713, -1, 0, 0, 0, 0]	 game_history=[14, 16]
                                   Rank 3 fitness=28	weights=[1, -1, 0, 0, -1.573, 0.713, -1.329, 0, 0, 2.293, 0]	 game_history=[10, 18]
                                   Rank 4 fitness=20	weights=[1, -1, 0, 0, -1.573, 0.713, -1.329, 0, 0, 0, 0]	 game_history=[16, 4]
2020-03-14 01:23:17.485717 - G14:  Rank 0 fitness=36	weights=[1, -1, -2.361, 0, 0.618, -0.713, -1.329, 0, -1.645, 0, 0]	 game_history=[16, 20]
                                   Rank 1 fitness=34	weights=[1, -1, 0, 0, 0.618, 0.713, -1, 0, 0, 0, 0]	 game_history=[14, 20]
                                   Rank 2 fitness=34	weights=[1, -1, -1.719, 0, 1.573, -0.179, -1.329, 0, 0, 0, 0]	 game_history=[22, 12]
                                   Rank 3 fitness=30	weights=[1, -1, 0, 0, -1.573, -0.179, -1.329, 0, 0, 0, 0]	 game_history=[18, 12]
                                   Rank 4 fitness=28	weights=[1, -1, -2.361, 0, 0.618, 0.713, -1.329, 0, 0, 0, 0]	 game_history=[20, 8]
2020-03-14 01:23:32.573033 - G15:  Rank 0 fitness=40	weights=[1, -1, -2.361, 0, 1.573, -0.179, -1.329, 0, 0, 0, 0]	 game_history=[20, 20]
                                   Rank 1 fitness=36	weights=[1, -1, -2.361, 0, 0.618, -0.713, 0.919, 0, 0, 0, 0]	 game_history=[16, 20]
                                   Rank 2 fitness=34	weights=[1, -1, 0, 0, 0.618, 0.713, -1, 0, 0, 0, 0]	 game_history=[26, 8]
                                   Rank 3 fitness=32	weights=[1, -1, -2.361, 0, 0.618, -0.713, -1.329, 0, -1.645, 0, 0]	 game_history=[12, 20]
                                   Rank 4 fitness=30	weights=[1, -1, 0, 0, -1.573, -0.179, -1.329, 0, 0, 0, 0]	 game_history=[18, 12]
2020-03-14 01:23:48.572399 - G16:  Rank 0 fitness=56	weights=[1, -1, -2.361, 0, 1.573, -0.179, -1.329, 0, 0, 0, 0]	 game_history=[24, 32]
                                   Rank 1 fitness=46	weights=[1, -1, -2.361, 0, 0.618, -0.713, -1.329, 0, -1.645, 0, 0]	 game_history=[18, 28]
                                   Rank 2 fitness=44	weights=[1, -1, -2.361, 0, 0.618, -0.713, 0.919, 0, -1.645, 0, 1.466]	 game_history=[28, 16]
                                   Rank 3 fitness=28	weights=[-1, -1, -2.361, 0, 1.573, -0.179, -1.329, -0.273, 0, 0, 0]	 game_history=[10, 18]
                                   Rank 4 fitness=28	weights=[1, -1, -2.361, 0, 2.284, -0.179, 1.329, 0, 0, 0, 0]	 game_history=[8, 20]
2020-03-14 01:24:03.472908 - G17:  Rank 0 fitness=44	weights=[1, -1, -2.361, 0, 1.573, -0.179, -1.329, 0, 0, 0, 0]	 game_history=[16, 28]
                                   Rank 1 fitness=42	weights=[1, -1, -2.361, 0, 0.618, -0.713, -3.576, 0, -1.645, 0, 0]	 game_history=[10, 32]
                                   Rank 2 fitness=38	weights=[1, -1, -2.361, -1.543, 1.573, -0.179, -0.919, 0, -1.645, 0, 1.466]	 game_history=[8, 30]
                                   Rank 3 fitness=38	weights=[1, -1, -2.361, 0, 2.284, -0.179, 1.329, 0, 0, 0, 0]	 game_history=[20, 18]
                                   Rank 4 fitness=34	weights=[1, -1, -2.361, 0, 0.618, -0.713, -1.329, 0, -1.645, 0, 0]	 game_history=[12, 22]
2020-03-14 01:24:18.440350 - G18:  Rank 0 fitness=38	weights=[1, -1, -2.361, -1.543, 1.573, -0.179, -0.919, 0, -1.645, 0, 1.466]	 game_history=[22, 16]
                                   Rank 1 fitness=28	weights=[1, -1, -2.361, 0, 0.618, -0.713, -1.329, 0, -1.645, 0, 0]	 game_history=[26, 2]
                                   Rank 2 fitness=18	weights=[1, -1, -4.328, 0, -1.573, -0.179, -0.919, 0, -1.645, 0, 1.466]	 game_history=[16, 2]
                                   Rank 3 fitness=10	weights=[1, -1, -2.361, 1.896, 1.573, -0.179, -1.329, 0, 0, 0, 0]	 game_history=[4, 6]
                                   Rank 4 fitness=8	weights=[1, -1, -2.361, 0, 0.618, -0.713, -3.576, 0, -1.645, 0, 0]	 game_history=[6, 2]
2020-03-14 01:24:34.179986 - G19:  Rank 0 fitness=42	weights=[1, -1, -2.361, 0, 0.618, -0.713, -3.576, 0, -1.645, 0, 0]	 game_history=[26, 16]
                                   Rank 1 fitness=38	weights=[1, 0.631, -2.361, 0, 1.573, -0.179, -0.919, 0, -1.645, 0, 0]	 game_history=[14, 24]
                                   Rank 2 fitness=32	weights=[1, -1, -2.361, -1.543, 1.573, -0.179, -0.919, 0, -1.645, 0, 1.466]	 game_history=[2, 30]
                                   Rank 3 fitness=26	weights=[1, -1, -2.361, -1.543, 1.573, -0.179, -0.919, 0, -1.645, 0, 1.427]	 game_history=[10, 16]
                                   Rank 4 fitness=24	weights=[1, -1, -2.361, 0, 0.618, -0.713, -1.329, 0, -1.645, 0, 0]	 game_history=[16, 8]
2020-03-14 01:24:48.206402 - G20:  Rank 0 fitness=66	weights=[1, -1, -2.361, 0, 0.618, -0.713, 1.329, 0, -1.645, 0, -0.066]	 game_history=[30, 36]
                                   Rank 1 fitness=54	weights=[1, -1, -2.361, 0, 1.935, 0.713, -3.576, 0, -1.645, 0, 0]	 game_history=[32, 22]
                                   Rank 2 fitness=48	weights=[1, -0.886, -2.361, -1.543, 1.573, -0.179, -0.919, 0, -1.645, 0, -1.466]	 game_history=[18, 30]
                                   Rank 3 fitness=36	weights=[1, -1, -2.361, 0, 0.618, -0.713, -1.329, 0, -1.645, 0, 0]	 game_history=[18, 18]
                                   Rank 4 fitness=28	weights=[1, 0.631, -2.361, 0, 1.573, -0.179, -0.919, 0, -1.645, 0, 0]	 game_history=[12, 16]
2020-03-14 01:25:03.246767 - G21:  Rank 0 fitness=44	weights=[1, -1, -2.361, 0, 0.618, -0.713, -1.329, 0, -1.645, 0, 0]	 game_history=[22, 22]
                                   Rank 1 fitness=36	weights=[1, -1, -2.361, 0, 0.618, -0.713, 1.329, 0, -1.645, 0, -0.066]	 game_history=[16, 20]
                                   Rank 2 fitness=36	weights=[1, -1, -2.361, 0, 1.935, 0.713, -3.576, 0, -3.529, 0, 0]	 game_history=[24, 12]
                                   Rank 3 fitness=30	weights=[1, -1, -2.361, 0, 1.935, 0.713, -3.576, 0, -1.645, 0, 0]	 game_history=[18, 12]
                                   Rank 4 fitness=24	weights=[1, 0.631, -2.361, 0, 1.573, -0.161, -0.919, 0, -1.645, 0, 0]	 game_history=[2, 22]
2020-03-14 01:25:18.443969 - G22:  Rank 0 fitness=44	weights=[1, -1, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.645, 0, 0]	 game_history=[28, 16]
                                   Rank 1 fitness=38	weights=[1, -1, -2.361, 0, 1.935, 0.713, -3.576, 0, -3.529, 0, 0]	 game_history=[36, 2]
                                   Rank 2 fitness=36	weights=[1, -1, -2.361, 0, 0.618, -0.713, -1.329, 0, -1.645, 0, 0]	 game_history=[14, 22]
                                   Rank 3 fitness=36	weights=[1, -1, -2.361, 0, 1.935, 0.68, -3.576, 0, -1.645, 0, 0]	 game_history=[18, 18]
                                   Rank 4 fitness=30	weights=[1, -1, -2.361, 0, 0.618, -0.713, 1.329, 0, -1.645, 0, -0.066]	 game_history=[20, 10]
2020-03-14 01:25:33.209616 - G23:  Rank 0 fitness=52	weights=[1, -1, -2.361, 0, 0.618, -0.713, 1.329, 0, -1.645, 0, -0.066]	 game_history=[18, 34]
                                   Rank 1 fitness=44	weights=[1, -1, -2.361, 0, 0.8, 0.68, -3.576, 0, -1.645, 0, 0]	 game_history=[20, 24]
                                   Rank 2 fitness=42	weights=[1, -1, -2.361, 0, 0.618, -0.713, -1.329, 0, -1.645, 0, 0]	 game_history=[22, 20]
                                   Rank 3 fitness=36	weights=[1, -1, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.645, 0, 0]	 game_history=[10, 26]
                                   Rank 4 fitness=14	weights=[1, -1, -2.361, 0, -0.618, -0.713, -2.766, 0, 1.645, -0.44, 0]	 game_history=[12, 2]
2020-03-14 01:25:46.979301 - G24:  Rank 0 fitness=50	weights=[1, -1, -2.361, 0, 0.8, 0.68, -3.576, 0, -1.645, 0, 0]	 game_history=[14, 36]
                                   Rank 1 fitness=44	weights=[1, -1, -2.361, 0, -0.618, -0.713, -2.766, 0, -1.645, 0, 0]	 game_history=[18, 26]
                                   Rank 2 fitness=40	weights=[1, -1, -2.361, 0, -1.458, -0.68, -3.576, 0, -1.645, 0, 0]	 game_history=[12, 28]
                                   Rank 3 fitness=38	weights=[1, -1, -2.361, 0, 0.618, -0.713, 1.329, 0, -1.645, 0, -0.066]	 game_history=[14, 24]
                                   Rank 4 fitness=38	weights=[1, -1, -2.361, 0, 0.8, 0.68, -3.576, 1.94, -1.645, 0, 0]	 game_history=[20, 18]
